temp1,temp2,DD,DDG_tem1,DDG_temp2
18.59,11.86,D1,18.59,11.86
18.25,11.64,D2,36.84,23.5
17.65,9.9,D3,54.49,33.4
18.21,9.84,D4,72.7,43.24
18.03,9.71,D5,90.73,52.95
20.97,12.82,D6,111.7,65.77
22.88,14.55,D7,134.58,80.32
24,15.40997,D8,158.58,95.72997
26.72998,17.93,D9,185.30998,113.65997
27.53998,18.72998,D10,212.84996,132.38995
28.9,19.76,D11,241.74996,152.14995
29.47998,20.14,D12,271.22994,172.28995
29.38,20.34,D13,300.60994,192.62995
29.69,20.34,D14,330.29994,212.96995
29.24,19.16998,D15,359.53994,232.13993
28.37,18.72,D16,387.90994,250.85993
28.34,18.65997,D17,416.24994,269.5199
24.03,16.32,D18,440.27994,285.8399
22.06,14.57,D19,462.33994,300.4099
21.68,14.12,D20,484.01994,314.5299
20.19,12.15,D21,504.20994,326.6799
20.12,11.97998,D22,524.32994,338.65988
19.07,10.68,D23,543.39994,349.33988
18.7,10.49,D24,562.09994,359.82988
18.58002,10.41998,D25,580.67996,370.24986
18.3,10.15,D26,598.97996,380.39986
17.31,9.63,D27,616.28996,390.02986
17.53,9.32,D28,633.81996,399.34986
17.25,9.06,D29,651.06996,408.40986
