temp,time,DD,DD_temp
19,01/01/2020 00:00,D1,19
18,01/01/2020 01:00,D2,37
18,01/01/2020 02:00,D3,54
18,01/01/2020 03:00,D4,73
18,01/01/2020 04:00,D5,91
21,01/01/2020 05:00,D6,112
23,01/01/2020 06:00,D7,135
24,01/01/2020 07:00,D8,159
27,01/01/2020 08:00,D9,185
28,01/01/2020 09:00,D10,213
29,01/01/2020 10:00,D11,242
29,01/01/2020 11:00,D12,271
29,01/01/2020 12:00,D13,301
30,01/01/2020 13:00,D14,330
29,01/01/2020 14:00,D15,360
28,01/01/2020 15:00,D16,388
28,01/01/2020 16:00,D17,416
24,01/01/2020 17:00,D18,440
22,01/01/2020 18:00,D19,462
22,01/01/2020 19:00,D20,484
20,01/01/2020 20:00,D21,504
20,01/01/2020 21:00,D22,524
19,01/01/2020 22:00,D23,543
19,01/01/2020 23:00,D24,562
19,02/01/2020 00:00,D25,581
18,02/01/2020 01:00,D26,599
17,02/01/2020 02:00,D27,616
18,02/01/2020 03:00,D28,634
17,02/01/2020 04:00,D29,651
